nome_cliente_12;codice_articolo_12;articolo_colore_12;unita_di_misura_12;quantita_12;imponibile_12
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661011;40/2 ELAS RIT PA 66 - GRIGIO MELANGE SCURO PIRI;KG;34,4000005722046;447,2
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661013;40/2 ELAS RIT PA 66 - GRIGIO MELANGE CHIARO PIRI;KG;36,6099996566772;475,93
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661015;40/2 ELAS RIT PA 66 - BORDO' PIRI;KG;36,7700004577637;478,01
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661017;40/2 ELAS RIT PA 66 - ROSSO FUXIA PIRI;KG;37,8599996566772;492,18
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661019;40/2 ELAS RIT PA 66 - ROSA CHIARO PIRI;KG;36,8600001335144;479,18
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661021;40/2 ELAS RIT PA 66 - BEIGE PIRI;KG;33,7699995040894;439,01
FACI di Falzoni Luigi & C. SNC;PF0026040/20X661023;40/2 ELAS RIT PA 66 - POUDRE ITALIAN FASHION - NON USARE;KG;102,779999732971;1336,14
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61008;140 LUCIDO RIT 200 S PA 6 - NERO;KG;29,2299997806549;453,08
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61010;140 LUCIDO RIT 200 S PA 6 - BIANCO;KG;104,749999523163;1623,65
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61012;140 LUCIDO RIT 200 S PA 6 - GRIGIO MELANGE SCURO PIRI;KG;29,5699995756149;458,34
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61014;140 LUCIDO RIT 200 S PA 6 - GRIGIO MELANGE CHIARO PIRI;KG;28,6100006103516;443,46
FACI di Falzoni Luigi & C. SNC;PF0026LU1400XP61016;140 LUCIDO RIT 200 S PA 6 - BORDO' PIRI;KG;28,8199996948242;446,72
