codice_articolo;kg;data_ordine;data_etichetta;giorni;Unnamed: 6
PF0489040/10AP6;106;27/03/2024;29/04/2024;33;
PF0489040/10AP6;62;15/04/2024;30/04/2024;15;
PF0489040/10AP6;21;07/05/2024;16/05/2024;9;
PF0489040/10AP6;108;28/03/2024;27/05/2024;60;
PF0489040/10AP6;51;24/05/2024;07/06/2024;14;
PF0504040/10AP6;55;26/06/2024;02/07/2024;6;
PF0504040/10AP6;55;26/06/2024;03/07/2024;7;
PF0336040/10AP6;21;04/09/2024;16/09/2024;12;
PF0336040/10AP6;21;17/09/2024;19/09/2024;2;
PF0489040/10AP6;109;31/10/2024;07/11/2024;7;
PF0489040/10AP6;46;06/11/2024;18/11/2024;12;
PF0489040/10AP6;54;12/11/2024;18/11/2024;6;
PF0489040/10AP6;55;19/12/2024;10/01/2025;22;
PF0489040/10AP6;55;19/12/2024;13/01/2025;25;
PF0489040/10AP6;56;10/02/2025;27/02/2025;17;
PF0489040/10AP6;106;10/02/2025;27/02/2025;17;
PF0489040/10AP6;106;10/02/2025;28/02/2025;18;
PF0489040/10AP6;55;18/03/2025;25/03/2025;7;
PF0489040/10AP6;114;31/03/2025;03/04/2025;3;
PF0489040/10AP6;56;18/03/2025;07/04/2025;20;
PF0489040/10AP6;105;31/03/2025;09/04/2025;9;
PF0489040/10AP6;54;31/03/2025;11/04/2025;11;
PF0868040/10AP6;400;08/04/2025;11/04/2025;3;
PF0489040/10AP6;56;20/03/2025;28/04/2025;39;
PF0489040/10AP6;56;31/03/2025;28/04/2025;28;
PF0489040/10AP6;57;11/04/2025;29/04/2025;18;
PF0489040/10AP6;33;06/05/2025;13/05/2025;7;
PF0489040/10AP6;56;14/05/2025;28/05/2025;14;
PF0489040/10AP6;55;19/06/2025;24/06/2025;5;
PF0008040/20X66;50;14/11/2023;20/11/2023;6;
PF0008040/20X66;35;15/04/2024;22/04/2024;7;
PF0008040/20X66;35;06/09/2024;09/09/2024;3;
PF0008040/20X66;35;08/11/2024;25/11/2024;17;
PF0008040/20X66;70;03/03/2025;07/03/2025;4;
PF0673040/20XEX;30;11/01/2023;12/01/2023;1;
PF0424040/20XEX;45;10/01/2023;13/01/2023;3;
PF0008040/20XEX;40;09/01/2023;17/01/2023;8;
PF0673040/20XEX;30;11/01/2023;19/01/2023;8;
PF0008040/20XEX;65;09/01/2023;30/01/2023;21;
PF0720040/20XEX;40;18/01/2023;02/02/2023;15;
PF0720040/20XEX;40;18/01/2023;02/02/2023;15;
PF0034040/20XEX;40;10/01/2023;06/02/2023;27;
PF0034040/20XEX;40;26/01/2023;06/02/2023;11;
PF0034040/20XEX;40;26/01/2023;06/02/2023;11;
PF0424040/20XEX;80;10/01/2023;10/02/2023;31;
PF0424040/20XEX;45;10/01/2023;15/02/2023;36;
PF0457040/20XEX;50;06/02/2023;15/02/2023;9;
PF0309040/20XEX;40;10/02/2023;15/02/2023;5;
PF0741040/20XEX;50;17/02/2023;28/02/2023;11;
PF0741040/20XEX;50;17/02/2023;02/03/2023;13;
PF0008040/20XEX;11;13/02/2023;06/03/2023;21;
PF0741040/20XEX;50;17/02/2023;06/03/2023;17;
PF0741040/20XEX;50;17/02/2023;07/03/2023;18;
PF0034040/20XEX;20;20/02/2023;07/03/2023;15;
PF0034040/20XEX;40;20/02/2023;09/03/2023;17;
PF0309040/20XEX;50;27/02/2023;14/03/2023;15;
PF0008040/20XEX;40;13/02/2023;15/03/2023;30;
PF0008040/20XEX;40;24/02/2023;15/03/2023;19;
PF0457040/20XEX;100;06/03/2023;16/03/2023;10;
PF0309040/20XEX;40;22/03/2023;27/03/2023;5;
PF0008040/20XEX;54;23/03/2023;31/03/2023;8;
PF0008040/20XEX;80;22/03/2023;03/04/2023;12;
PF0008040/20XEX;46;23/03/2023;04/04/2023;12;
PF0034040/20XEX;40;03/04/2023;04/04/2023;1;
PF0008040/20XEX;80;22/03/2023;06/04/2023;15;
PF0457040/20XEX;100;27/03/2023;13/04/2023;17;
PF0349040/20XEX;50;11/04/2023;14/04/2023;3;
PF0457040/20XEX;100;14/04/2023;27/04/2023;13;
PF0034040/20XEX;35;13/04/2023;28/04/2023;15;
PF0349040/20XEX;68;11/04/2023;02/05/2023;21;
PF0034040/20XEX;23;13/04/2023;03/05/2023;20;
PF0507040/20XEX;20;05/05/2023;17/05/2023;12;
PF0034040/20XEX;40;08/05/2023;17/05/2023;9;
PF0008040/20XEX;40;15/05/2023;22/05/2023;7;
PF0008040/20XEX;40;15/05/2023;22/05/2023;7;
PF0457040/20XEX;40;19/05/2023;24/05/2023;5;
PF0008040/20XEX;40;05/05/2023;29/05/2023;24;
PF0008040/20XEX;40;15/05/2023;29/05/2023;14;
PF0309040/20XEX;40;24/05/2023;29/05/2023;5;
PF0457040/20XEX;50;19/05/2023;06/06/2023;18;
PF0457040/20XEX;100;19/05/2023;06/06/2023;18;
PF0034040/20XEX;20;05/05/2023;07/06/2023;33;
PF0457040/20XEX;50;05/05/2023;07/06/2023;33;
PF0034040/20XEX;20;05/05/2023;08/06/2023;34;
PF0457040/20XEX;50;05/05/2023;08/06/2023;34;
PF0008040/20XEX;40;06/06/2023;19/06/2023;13;
PF0034040/20XEX;40;18/05/2023;20/06/2023;33;
PF0457040/20XEX;50;08/06/2023;20/06/2023;12;
PF0034040/20XEX;40;19/06/2023;26/06/2023;7;
PF0034040/20XEX;40;19/06/2023;26/06/2023;7;
PF0008040/20XEX;40;27/06/2023;29/06/2023;2;
PF0008040/20XEX;30;27/06/2023;30/06/2023;3;
PF0008040/20XEX;40;27/06/2023;03/07/2023;6;
PF0309040/20XEX;40;27/06/2023;05/07/2023;8;
PF0720040/20XEX;40;05/07/2023;11/07/2023;6;
PF0008040/20XEX;40;11/07/2023;19/07/2023;8;
PF0008040/20XEX;40;17/07/2023;19/07/2023;2;
PF0034040/20XEX;40;28/08/2023;04/09/2023;7;
PF0034040/20XEX;40;28/08/2023;04/09/2023;7;
PF0008040/20XEX;40;28/08/2023;04/09/2023;7;
PF0008040/20XEX;28;28/08/2023;07/09/2023;10;
PF0008040/20XEX;72;28/08/2023;07/09/2023;10;
PF0008040/20XEX;100;28/08/2023;07/09/2023;10;
PF0034040/20XEX;40;11/09/2023;22/09/2023;11;
PF0034040/20XEX;40;12/09/2023;22/09/2023;10;
PF0598040/20XEX;50;19/09/2023;26/09/2023;7;
PF0034040/20XEX;20;25/09/2023;03/10/2023;8;
PF0507040/20XEX;20;02/10/2023;04/10/2023;2;
PF0034040/20XEX;40;02/10/2023;05/10/2023;3;
